No,ST_NAME_E,ST_NAME_K,ST_CODE,Control_og,BS_CODE,Gage_type,River_system,EL_m,Time_Siries,Daily_Siries,Longitude,Latitude,Longitude_dms,Latitude_dms,X_EPSG5186,Y_EPSG5186
621,Geumgu,금구,33024020,MOLIT,330206,T/M,Mangyeong_Dongjin,80,1980Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,127.0152778,35.77111111,127-00-55,35-46-16,201381.472324756,352647.961577745
622,Gobu,고부,33024030,MOLIT,330205,T/M,Mangyeong_Dongjin,40,1979Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,126.7736111,35.61833333,126-46-25,35-37-06,179490.023953846,335720.245263172
623,Gimje,김제,33024040,MOLIT,330207,T/M,Mangyeong_Dongjin,18,1973Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,126.8908333,35.79194444,126-53-27,35-47-31,190131.336929182,354964.913520346
624,Taein,태인,33024050,MOLIT,330202,T/M,Mangyeong_Dongjin,30,1974Y 06M?~ 2013Y 08M,1968Y 01M?~ 2013Y 08M,126.9394444,35.65083333,126-56-22,35-39-03,194516.116926802,339304.284016114
625,Sanoe,산외,33024070,MOLIT,330201,T/M,Mangyeong_Dongjin,70,2000Y 05M?~ 2013Y 08M,2000Y 05M?~ 2013Y 08M,127.0469444,35.61583333,127-02-49,35-36-57,204253.113577316,335420.281988496
626,Jeongeup,정읍,33024080,MOLIT,330203,T/M,Mangyeong_Dongjin,25,2000Y 05M?~ 2013Y 08M,2000Y 05M?~ 2013Y 08M,126.8513889,35.57527778,126-51-05,35-34-31,186529.191936456,330929.73092263
627,Buan,부안,33031243,KMA,330302,basic,Mangyeong_Dongjin,3.6,No Data,No Data,126.71655,35.72954,126-42-60,35-43-46,174356.090288665,348072.399102817
628,Jirisan2,지리산2,20184340,MOLIT,400904,T/M,Seonjingang,0,2004Y 09M?~ 2013Y 08M,2004Y 09M?~ 2013Y 08M,127.5311111,35.29027778,127-31-52,35-17-25,248312.547995619,299428.603631573
629,Imsil,임실,40011244,KMA,400104,basic,Seonjingang,248,No Data,No Data,127.28556,35.61227,127-17-08,35-36-44,225872.618841966,335061.452478028
630,Ssangchi,쌍치,40014050,Kwater,400107,T/M,Seonjingang,350,1990Y 06M?~ 2013Y 08M,1990Y 06M?~ 2013Y 08M,126.9708333,35.48805556,126-58-15,35-29-17,197353.331327832,321242.623218008
631,Shinpyong,신평,40014060,Kwater,400105,T/M,Seonjingang,265,1990Y 06M?~ 2013Y 08M,1990Y 06M?~ 2013Y 08M,127.2027778,35.6425,127-12-10,35-38-33,218365.368558304,338396.929411449
632,Seongsu,성수,40014070,Kwater,400103,T/M,Seonjingang,420,1990Y 06M?~ 2013Y 08M,1990Y 06M?~ 2013Y 08M,127.3436111,35.71277778,127-20-37,35-42-46,231093.255578232,346229.948491153
633,Gangjin,강진,40024010,MOLIT,400201,basic,Seonjingang,360,1980Y 06M?~ 1994Y 09M,1965Y 04M?~ 2003Y 08M,127.1655556,35.52722222,127-09-56,35-31-38,215015.696112897,325600.375249759
634,Seomjingang Dam,섬진강댐,40024020,Kwater,400201,T/M,Seonjingang,220,1990Y 06M?~ 2013Y 08M,1975Y 02M?~ 2013Y 08M,127.1113889,35.54222222,127-06-41,35-32-32,210100.957838365,327257.732755825
635,Deogchi,덕치,40024030,MOLIT,400203,T/M,Seonjingang,125,2004Y 09M?~ 2013Y 08M,2004Y 09M?~ 2013Y 08M,127.1519444,35.49361111,127-09-07,35-29-37,213786.919778106,321869.232308908
636,Baengyeonsan,백련산,40024040,MOLIT,400201,T/M,Seonjingang,754,2004Y 09M?~ 2013Y 08M,2004Y 09M?~ 2013Y 08M,127.1708333,35.56444444,127-10-15,35-33-52,215487.219146765,329731.025592375
637,Je2seomjin,제2섬진,40024050,MOLIT,400401,T/M,Seonjingang,85,2004Y 09M?~ 2013Y 08M,2004Y 09M?~ 2013Y 08M,127.2177778,35.42055556,127-13-04,35-25-14,219778.299147874,313774.965316748
638,Dunnam,둔남,40034010,MOLIT,400301,T/M,Seonjingang,160,1990Y 06M?~ 2013Y 08M,1990Y 10M?~ 2013Y 08M,127.335,35.54138889,127-20-06,35-32-29,230378.803357443,327211.191642722
639,Osu,오수,40034020,MOLIT,400303,T/M,Seonjingang,80,1997Y 03M?~ 2013Y 08M,1997Y 01M?~ 2013Y 08M,127.2472222,35.43666667,127-14-50,35-26-12,222447.93572485,315568.762538687
640,Imsil,임실,40034030,MOLIT,400301,T/M,Seonjingang,240,2003Y 11M?~ 2013Y 08M,2002Y 12M?~ 2013Y 08M,127.35,35.62694444,127-21-00,35-37-37,231705.310898667,336708.476448408
641,Osan,오산,40044010,MOLIT,400403,T/M,Seonjingang,270,1990Y 07M?~ 2013Y 08M,1990Y 10M?~ 2013Y 08M,127.1191667,35.25805556,127-07-09,35-15-29,210844.249230619,295730.834882057
642,Sunchang,순창,40044020,MOLIT,400402,basic,Seonjingang,320,1990Y 07M?~ 2005Y 06M,1990Y 10M?~ 2005Y 06M,127.135,35.3825,127-08-06,35-22-57,212266.283097635,309539.36152965
643,Sunchang,순창2,40044030,MOLIT,400402,T/M,Seonjingang,131,1980Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,127.1352778,35.37166667,127-08-07,35-22-18,212293.167367387,308337.464051206
644,Jeokseong,적성,40044040,MOLIT,400401,T/M,Seonjingang,85,2000Y 01M?~ 2013Y 08M,2000Y 01M?~ 2013Y 08M,127.2222222,35.3975,127-13-20,35-23-51,220187.682922076,311217.886989442
645,Daegang,대강,40044060,MOLIT,400404,T/M,Seonjingang,70,2004Y 09M?~ 2013Y 08M,2004Y 09M?~ 2013Y 08M,127.2186111,35.32833333,127-13-07,35-19-42,219876.579225596,303543.286552183
646,Namwon,남원,40051247,KMA,400504,basic,Seonjingang,93.5,No Data,No Data,127.33303,35.40536,127-19-59,35-24-19,230251.066193255,312118.19637837
647,Namwon,남원,40054020,MOLIT,400504,T/M,Seonjingang,100,1990Y 06M?~ 2013Y 08M,1990Y 10M?~ 2013Y 08M,127.3933333,35.40555556,127-23-36,35-24-20,235728.708316592,312160.010127565
648,Beonam2,번암2,40054030,MOLIT,400502,T/M,Seonjingang,240,1980Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,127.5408333,35.5425,127-32-27,35-32-33,249043.853874705,327417.402592117
649,Songdong,송동,40054040,MOLIT,400504,T/M,Seonjingang,55,2001Y 09M?~ 2013Y 08M,2001Y 09M?~ 2013Y 08M,127.3133333,35.31611111,127-18-48,35-18-58,228493.232044496,302210.386096153
650,Ogok,오곡,40064010,MOLIT,400603,T/M,Seonjingang,30,1990Y 06M?~ 2013Y 08M,1990Y 10M?~ 2013Y 08M,127.3722222,35.235,127-22-20,35-14-06,233882.130624149,293229.919933393
651,Boknae,복내,40074020,MOLIT,400703,basic,Seonjingang,210,1981Y 06M?~ 1994Y 11M,1965Y 04M?~ 2003Y 02M,127.1305556,34.88972222,127-07-50,34-53-23,211934.153014992,254868.490886644
652,Boseong,보성,40074030,MOLIT,400702,basic,Seonjingang,50,1980Y 06M?~ 1994Y 11M,1965Y 04M?~ 2003Y 02M,127.0941667,34.76027778,127-05-39,34-45-37,208621.302185599,240504.526592691
653,Boseong,보성,40074040,Kwater,400702,T/M,Seonjingang,220,1990Y 06M?~ 2010Y 12M,1990Y 06M?~ 2010Y 12M,127.1472222,34.80222222,127-08-50,34-48-08,213471.907838258,245163.538368363
654,Dongbok Dam,동복댐,40074050,Kwater,400705,T/M,Seonjingang,174,1990Y 06M?~ 2013Y 08M,1990Y 06M?~ 2013Y 08M,127.1041667,35.08055556,127-06-15,35-04-50,209499.860453234,276036.785215919
655,Boknae,복내,40074060,Kwater,400703,T/M,Seonjingang,112.3,1990Y 06M?~ 2013Y 08M,1990Y 06M?~ 2013Y 08M,127.1366667,34.89333333,127-08-12,34-53-36,212492.225486368,255269.84786391
656,Usan,우산,40074070,Kwater,400707,T/M,Seonjingang,127.5,1990Y 06M?~ 2013Y 08M,1990Y 06M?~ 2013Y 08M,127.2261111,34.97055556,127-13-34,34-58-14,220648.678351878,263851.659992212
657,Juam Dam,주암댐,40074080,Kwater,400707,T/M,Seonjingang,115,1990Y 06M?~ 2013Y 08M,1990Y 06M?~ 2013Y 08M,127.2369444,35.06194444,127-14-13,35-03-43,221613.928291059,273992.743242212
658,Jangdong,장동,40074082,Kwater,400702,T/M,Seonjingang,,2006Y 01M?~ 2013Y 08M,2006Y 01M?~ 2013Y 08M,127.0094444,34.77861111,127-00-34,34-46-43,200864.477680307,242534.360848463
659,Boseonggang dam,보성강댐,40074090,Kwater,400702,basic,Seonjingang,,2007Y 05M?~ 2013Y 08M,2007Y 05M?~ 2013Y 08M,127.1472222,34.80222222,127-08-50,34-48-08,213471.907838258,245163.538368363
660,Boseonggang dam,보성강댐,40074092,KHNPC,400702,basic,Seonjingang,,No Data,No Data,127.1538889,34.78388889,127-09-14,34-47-02,214085.077205605,243130.609925294
661,Ungchi,웅치,40074126,KHNPC,400701,T/M,Seonjingang,,2009Y 02M?~ 2010Y 09M,2009Y 02M?~ 2010Y 09M,127.0058333,34.69888889,127-00-21,34-41-56,200534.454646093,233690.287522682
662,Jangpyeong,장평,40074127,KHNPC,400701,T/M,Seonjingang,,No Data,No Data,126.9330556,34.79888889,126-55-59,34-47-56,193873.853172615,244785.912908239
663,Dongga,동가,40074140,Kwater,400705,T/M,Seonjingang,,2010Y 09M?~ 2010Y 09M,2010Y 09M?~ 2010Y 09M,127.0652778,34.96722222,127-03-55,34-58-02,205961.466665303,263460.452903365
664,Maengri,맹리,40074143,Kwater,400704,T/M,Seonjingang,,2010Y 09M?~ 2010Y 09M,2010Y 09M?~ 2010Y 09M,127.0908333,35.17833333,127-05-27,35-10-42,208273.976425492,286883.35454909
665,Juam,주암,40081256,KMA,400801,basic,Seonjingang,74.4,No Data,No Data,127.23911,35.075,127-14-21,1935-04-30,221808.000463621,275441.626717122
666,Jukgok,죽곡,40084010,MOLIT,400802,T/M,Seonjingang,80,1993Y 08M?~ 2013Y 08M,1993Y 08M?~ 2013Y 08M,127.3486111,35.15722222,127-20-55,1935-09-26,231763.144323599,284593.074526668
667,Seokgok,석곡,40084020,MOLIT,400801,T/M,Seonjingang,419,2003Y 11M?~ 2013Y 08M,2002Y 12M?~ 2013Y 08M,127.2525,35.12388889,127-15-09,1935-07-26,223015.492425514,280868.506077567
668,Hadong,하동,40094010,MOLIT,400911,basic,Seonjingang,20,1980Y 06M?~ 2003Y 01M,1965Y 04M?~ 2005Y 12M,127.7425,35.07083333,127-44-33,1935-04-15,267723.652877224,275205.366880593
669,Samilam,삼일암,40094030,MOLIT,400903,T/M,Seonjingang,100,1983Y 07M?~ 2006Y 12M,1983Y 01M?~ 2006Y 12M,127.4669444,35.26055556,127-28-01,35-15-38,242491.095078699,296101.645591439
