No,ST_NAME_E,ST_NAME_K,ST_CODE,Control_og,BS_CODE,Gage_type,River_system,EL_m,Time_Siries,Daily_Siries,Longitude,Latitude,Longitude_dms,Latitude_dms,X_EPSG5186,Y_EPSG5186
708,Bonghwang,봉황,50044040,MOLIT,500402,T/M,Yeongsangang,50,1991Y 01M?~ 2013Y 08M,1991Y 06M?~ 2013Y 08M,126.7913889,34.95416667,126-47-29,34-57-15,180945.64716975,262029.999335439
709,Samseo,삼서,50054010,MOLIT,500501,T/M,Yeongsangang,20,1991Y 07M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,126.6483333,35.22888889,126-38-54,35-13-44,167986.574636846,292545.100153338
710,Nasan,나산,50054020,MOLIT,500502,T/M,Yeongsangang,20,2004Y 12M?~ 2013Y 08M,2004Y 12M?~ 2013Y 08M,126.6138889,35.10861111,126-36-50,35-06-31,164799.171080709,279212.584729358
711,Hampyeong,함평,50064020,MOLIT,500601,T/M,Yeongsangang,10,1991Y 01M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,126.5197222,35.06472222,126-31-11,35-03-53,156190.693529659,274380.729250758
712,Dopo,도포,50074010,MOLIT,500702,T/M,Yeongsangang,20,1991Y 01M?~ 2013Y 08M,1991Y 06M?~ 2013Y 08M,126.6455556,34.84611111,126-38-44,34-50-46,167582.886178577,250079.869325377
713,Hagueon,하구언,50084010,MOLIT,500801,T/M,Yeongsangang,10,1991Y 06M?~ 2013Y 08M,1991Y 06M?~ 2013Y 08M,126.4491667,34.78722222,126-26-57,34-47-14,149585.342228593,243627.872155786
714,Jangheong,장흥,51011260,KMA,510102,basic,Tamjingang,44.5,No Data,No Data,126.91949,34.68875,126-55-10,34-41-19,192622.667078107,232568.464327643
715,Byeongyeong,병영,51014020,MOLIT,510103,T/M,Tamjingang,50,2000Y 05M?~ 2013Y 08M,2000Y 05M?~ 2013Y 08M,126.8183333,34.71861111,126-49-06,34-43-07,183359.397293922,235893.186727181
716,Yuchi,유치,51014030,MOLIT,510101,T/M,Tamjingang,50,2000Y 05M?~ 2013Y 08M,1997Y 01M?~ 2013Y 08M,126.8361111,34.7975,126-50-10,34-47-51,185002.110651226,244642.032361967
717,Handae,한대,51014040,Kwater,510101,T/M,Tamjingang,140,2000Y 12M?~ 2013Y 08M,2000Y 12M?~ 2013Y 08M,126.7844444,34.80638889,126-47-04,34-48-23,180276.070248691,245637.075887981
718,Unweol,운월,51014050,Kwater,510101,T/M,Tamjingang,280,2000Y 05M?~ 2013Y 08M,2000Y 01M?~ 2013Y 08M,126.8536111,34.83638889,126-51-13,34-50-11,186609.87488955,248953.788284064
719,Jangheung Dam,장흥댐,51014060,Kwater,510102,T/M,Tamjingang,46,2000Y 12M?~ 2013Y 08M,2000Y 12M?~ 2013Y 08M,126.8888889,34.75027778,126-53-20,34-45-01,189826.149618317,239396.749292658
720,Tamjin dam,탐진댐,51014070,Kwater,510102,T/M,Tamjingang,46,2010Y 09M?~ 2010Y 09M,2010Y 09M?~ 2010Y 09M,126.8938889,34.7525,126-53-38,34-45-09,190284.233367811,239642.779024212
721,Jakcheon,작천,51014080,MOLIT,510103,T/M,Tamjingang,30,2000Y 05M?~ 2013Y 08M,2000Y 05M?~ 2013Y 08M,126.7744444,34.69944444,126-46-28,34-41-58,179334.417370774,233775.058332122
722,Gundong,군동,51014090,MOLIT,510104,T/M,Tamjingang,8.5,2000Y 05M?~ 2013Y 08M,2001Y 01M?~ 2013Y 08M,126.8183333,34.63305556,126-49-06,34-37-59,183342.276211846,226402.09464515
723,Yuyang,유양,51014100,MOLIT,510102,T/M,Tamjingang,36,2000Y 05M?~ 2013Y 08M,2000Y 05M?~ 2013Y 08M,126.9077778,34.72833333,126-54-28,34-43-42,191553.473075192,236960.573553405
724,Byeongyeong,병영,51014150,MOLIT,510103,T/M,Tamjingang,,2010Y 09M?~ 2010Y 09M,2010Y 09M?~ 2010Y 09M,126.8191667,34.71444444,126-49-09,34-42-52,183434.905664521,235430.81719392
725,Jindo,진도,52011175,KMA,520103,basic,Yeongsangangnamhae,476.4,No Data,No Data,126.32379,34.47212,126-19-26,34-28-20,137875.696447935,208741.619713315
726,Haenam,해남,52021261,KMA,520205,basic,Yeongsangangnamhae,4.6,No Data,No Data,126.56897,34.55359,126-34-08,34-33-13,160439.426874181,217656.121325982
727,Mokpo,목포,53021165,KMA,530209,basic,Yeongsangangseohae,37.4,No Data,No Data,126.38121,34.81689,126-22-52,34-49-01,143385.857654341,246955.413930109
728,Gochang,고창,53021172,KMA,530203,basic,Yeongsangangseohae,52,No Data,No Data,126.599,35.3489,126-35-56,35-20-56,163549.407251625,305876.96313422
729,Mokpo,목포,53024010,MOLIT,530209,basic,Yeongsangangseohae,,No Data,1993Y 01M?~ 1994Y 12M,126.3833333,34.78333333,126-23-00,34-47-00,143557.256605487,243231.468634566
730,Gosan,고산,60011185,KMA,600101,basic,Jejudo,70.9,No Data,No Data,126.16283,33.29382,126-09-46,33-17-38,122023.006040555,78149.4677196147
731,Jaeju,제주,60021184,KMA,600203,basic,Jejudo,19.9,No Data,No Data,126.52968,33.51411,126-31-47,33-30-51,156303.56786176,102368.496786826
732,Seogwipo,서귀포,60031189,KMA,600303,basic,Jejudo,50.4,No Data,No Data,126.56534,33.24613,126-33-55,33-14-46,159492.628827471,72631.714934942
733,Seongsan,성산,60041188,KMA,600403,basic,Jejudo,18.4,No Data,No Data,126.88021,33.38678,126-52-49,33-23-12,188854.336159238,88153.3950238216
